06.06.2025      Dynamic List Display                                                                1


	/BIC/MD_PROM	OBJVERS	DATETO	DATEFROM	CHANGED	/BIC/MD_PR_V	/BIC/MD_PR_T	/BIC/MD_PR_A

	         000	A	31.12.9999	01.01.1000		      0,000
	         001	A	31.05.2005	01.01.1000		      0,000
	         001	A	31.12.2008	01.06.2005		      0,000	NO DISCOUNT	NO DISCOUNT
	         001	A	31.12.9999	01.01.2009		      0,000
	         002	A	30.06.2005	01.01.1000		      0,000
	         002	A	30.06.2008	01.07.2005		      0,000	VOLUME DISCOUNT	RESELLER
	         002	A	31.12.9999	01.07.2008		      0,000
	         003	A	30.06.2005	01.01.1000		      0,000
	         003	A	30.06.2008	01.07.2005		      0,000	VOLUME DISCOUNT	RESELLER
	         003	A	31.12.9999	01.07.2008		      0,000
	         004	A	30.06.2005	01.01.1000		      0,000
	         004	A	30.06.2008	01.07.2005		      0,000	VOLUME DISCOUNT	RESELLER
	         004	A	31.12.9999	01.07.2008		      0,000
	         005	A	30.06.2005	01.01.1000		      0,000
	         005	A	30.06.2008	01.07.2005		      0,000	VOLUME DISCOUNT	RESELLER
	         005	A	31.12.9999	01.07.2008		      0,000
	         006	A	30.06.2005	01.01.1000		      0,000
	         006	A	30.06.2008	01.07.2005		      0,000	VOLUME DISCOUNT	RESELLER
	         006	A	31.12.9999	01.07.2008		      0,000
	         007	A	14.05.2006	01.01.1000		      0,000
	         007	A	30.06.2006	15.05.2006		      0,000	DISCONTINUED PRODUCT	RESELLER
	         007	A	31.12.9999	01.07.2006		      0,000
	         008	A	30.06.2006	01.01.1000		      0,000
	         008	A	31.07.2006	01.07.2006		      0,000	SEASONAL DISCOUNT	RESELLER
	         008	A	31.12.9999	01.08.2006		      0,000
	         009	A	30.06.2006	01.01.1000		      0,000
	         009	A	31.08.2006	01.07.2006		      0,000	EXCESS INVENTORY	RESELLER
	         009	A	31.12.9999	01.09.2006		      0,000
	         010	A	14.06.2007	01.01.1000		      0,000
	         010	A	30.08.2007	15.06.2007		      1,000	EXCESS INVENTORY	CUSTOMER
	         010	A	31.12.9999	31.08.2007		      0,000
	         011	A	30.06.2007	01.01.1000		      0,000
	         011	A	31.07.2007	01.07.2007		      0,000	SEASONAL DISCOUNT	RESELLER
	         011	A	31.12.9999	01.08.2007		      0,000
	         012	A	30.06.2007	01.01.1000		      0,000
	         012	A	15.08.2007	01.07.2007		      0,000	EXCESS INVENTORY	RESELLER
	         012	A	31.12.9999	16.08.2007		      0,000
	         013	A	30.06.2007	01.01.1000		      0,000
	         013	A	30.09.2007	01.07.2007		      0,000	NEW PRODUCT	RESELLER
	         013	A	31.12.9999	01.10.2007		      0,000
	         014	A	30.06.2007	01.01.1000		      0,000
	         014	A	30.09.2007	01.07.2007		      0,000	NEW PRODUCT	RESELLER
	         014	A	31.12.9999	01.10.2007		      0,000
	         015	A	14.08.2007	01.01.1000		      0,000
	         015	A	15.09.2007	15.08.2007		      1,000	SEASONAL DISCOUNT	CUSTOMER
	         015	A	31.12.9999	16.09.2007		      0,000
	         016	A	30.04.2008	01.01.1000		      0,000
	         016	A	30.06.2008	01.05.2008		      0,000	DISCONTINUED PRODUCT	RESELLER
	         016	A	31.12.9999	01.07.2008		      0,000
	         017	A	09.08.2007	01.01.1000		      0,000
	         017	A	10.08.2008	10.08.2007		      0,000	VOLUME DISCOUNT	RESELLER
	         017	A	31.12.9999	11.08.2008		      0,000
